text_combined	label
hpl nom may 25 2001 see attached file hplno 525 xls hplno 525 xls	0
nom actual vols 24 th forwarded sabrae zajac hou ect 05 30 2001 12 07 pm enron capital trade resources corp eileen ponton 05 29 2001 08 37 davilal txu com cstonel txu com mjones 7 txu com hpl scheduling enron com liz bellamy enron com szajac enron com cc subject nom actual vols 24 th agree nomination 33 750 forwarded eileen ponton houston pefs pec 05 29 01 08 36 charlie stone eileen ponton melissa jones com hpl scheduling enron com liz bellamy enron com szajac enron com 05 25 01 subject nom actual vols 24 th 04 23 pm agree nominated volume records reflect following nom schedule 30 rate eff 0900 hrs hour beginning 1400 hrs 6 250 60 rate eff 1400 hrs hour beginning 1700 hrs 7 500 30 rate eff 1700 hrs hour beginning 0900 hrs 20 000 total nominated 33 750 please review source data let us know agree thanks ccs eileen ponton 05 25 2001 04 06 50 pm david avila lsp enserch us tu charlie stone energy txu tu melissa jones energy txu tu hpl scheduling enron com liz bellamy enron com szajac enron com cc subject nom actual vols 24 th nom mcf mmbtu 27 500 33 109 34 003	0
enron actuals march 30 april 1 201 estimated actuals march 30 2001 flow march 31 2001 flow april 1 2001 teco tap 35 000 receive actuals duke forward	0
hpl nom may 30 2001 see attached file hplno 530 xls hplno 530 xls	0
hpl nom june 1 2001 see attached file hplno 601 xls hplno 601 xls	0
hpl nom may 31 2001 see attached file hplno 531 xls hplno 531 xls	0
9760 tried get fancy address came back forwarded lauri allen hol aepin 10 25 2001 01 11 pm daren farmer enron com cc subject 9760 daren rate meter 9760 highlander central point 1 year starting 12 1 01 delivered equistar channelview 1373 07 mm price expires 1 week november 1 2001 let know need refresh time thanks	0
hpl noms february 15 2000 see attached file hplo 215 xls hplo 215 xls	0
fw pooling contract template original message christinehauk txu com mailto christinehauk txu com sent monday november 26 2001 9 45 buss jd subject pooling contract template see attached file line x pool contract doc	0
hpl nom march 28 2000 see attached file hplo 328 xls hplo 328 xls	0
fw txu lone star pipeline standard pooling agreement original message jeffsmirin txu com mailto jeffsmirin txu com sent monday november 26 2001 11 31 buss jd subject txu lone star pipeline standard pooling agreement standard pooling agreement noticed last two pages file actually cover sheet index actually front document see attached file standard pooling agreement doc	0
enron hpl nom december 1 2000 see attached file hplnl 201 xls hplnl 201 xls	0
hpl nom may 26 29 2001 see attached file hplno 526 xls hplno 526 xls	0
enron hpl actuals november 13 2000 teco tap 120 000 hpl gas daily ls hpl lsk ic 30 000 enron	0
txu noms 10 14 16 00 attached please find txu nominations weekend october 14 16 2000 scheduled flows see attached file hplnl 014 xls hplnl 014 xls	0
hpl nom april 2001 see attached file hplno 410 xls hplno 410 xls	0
spoke person confirms pg e side said brian agrees tufco ena numbers march also days 1 5 taken iferc 160 000 enron 110 625 gd 0 agree ami	0
noms actual vols 3 26 01 eileen gas control records indicate following rate changes march 26 2001 flow 20 000 rate 0900 1400 5 hrs 40 000 rate 1400 0100 11 hrs nom day 22 500 mmbtu please call see agree total nom reached 214 812 4404 eileen ponton 03 27 2001 09 39 00 david avila lsp enserch us tu charlie stone texas utilities tu melissa jones texas utilities tu hpl scheduling enron com liz bellamy enron com cc subject noms actual vols 3 26 01 nom mcf mmbtu 24 167 21 820 22 409 btu 1 027 note changes flow rates 3 23 thru 3 25	0
